,Str 0-1 (End),Turn 1,Str 1-2,Turn 2,Str 2-3,Turn 3,Str 3-4,Turn 4,Str 4-5,Turn 5,Str 5-6,Turn 6,Str 6-7,Turn 7,Str 7-8,Turn 8,Str 8-9,Turn 9,Str 9-10,Turn 10,Str 10-11,Turn 11,Str 11-12,Turn 12,Str 12-13,Turn 13,Str 0-1 (Start),Totals,[ARB_FRONT],[ARB_REAR],[DAMP_BUMP_HF],[DAMP_BUMP_HR],[DAMP_BUMP_LF],[DAMP_BUMP_LR],[DAMP_BUMP_RF],[DAMP_BUMP_RR],[DAMP_FAST_BUMP_HF],[DAMP_FAST_BUMP_HR],[DAMP_FAST_BUMP_LF],[DAMP_FAST_BUMP_LR],[DAMP_FAST_BUMP_RF],[DAMP_FAST_BUMP_RR],[DAMP_FAST_REBOUND_HF],[DAMP_FAST_REBOUND_HR],[DAMP_FAST_REBOUND_LF],[DAMP_FAST_REBOUND_LR],[DAMP_FAST_REBOUND_RF],[DAMP_FAST_REBOUND_RR],[DAMP_REBOUND_HF],[DAMP_REBOUND_HR],[DAMP_REBOUND_LF],[DAMP_REBOUND_LR],[DAMP_REBOUND_RF],[DAMP_REBOUND_RR],[DIFF_COAST],[DIFF_POWER],[DIFF_PRELOAD],[WING_1],[WING_2]
1,4.99,3.4,3.841,1.748,1.448,3.265,5.415,1.308,1.007,1.161,1.115,3.605,2.065,2.551,1.95,2.504,2.513,3.234,8.284,0.732,1.432,1.742,4.883,2.094,1.555,3.035,3.438,74.314,5.0,2.0,19.0,19.0,17.0,21.0,17.0,21.0,10.0,7.0,5.0,6.0,5.0,6.0,18.0,14.0,8.0,9.0,8.0,9.0,16.0,16.0,15.0,19.0,15.0,19.0,30.0,20.0,2.0,17.0,25.0
2,4.965,3.383,3.84,1.705,1.395,3.297,5.467,1.308,1.006,1.157,1.114,3.622,2.065,2.597,1.924,2.529,2.523,3.223,8.43,0.736,1.444,1.756,4.722,2.099,1.563,3.036,3.44,74.346,5.0,2.0,19.0,19.0,17.0,21.0,17.0,21.0,10.0,7.0,5.0,6.0,5.0,6.0,18.0,14.0,8.0,9.0,8.0,9.0,16.0,16.0,15.0,19.0,15.0,19.0,30.0,20.0,2.0,17.0,25.0
3,4.96,3.397,3.855,1.753,1.393,3.413,5.778,1.319,1.011,1.163,1.14,3.621,2.068,2.539,1.805,2.539,2.512,3.219,8.368,0.763,1.459,1.797,4.703,2.145,1.555,3.048,3.439,74.763,5.0,2.0,19.0,19.0,17.0,21.0,17.0,21.0,10.0,7.0,5.0,6.0,5.0,6.0,18.0,14.0,8.0,9.0,8.0,9.0,16.0,16.0,15.0,19.0,15.0,19.0,30.0,20.0,2.0,17.0,25.0
4,4.926,3.518,3.869,1.744,1.356,3.276,5.576,1.314,1.013,1.166,1.112,3.63,2.08,2.637,1.92,2.584,2.582,3.279,8.292,0.743,1.469,1.835,4.824,2.129,1.582,3.064,3.465,74.987,5.0,2.0,19.0,19.0,17.0,21.0,17.0,21.0,10.0,7.0,5.0,6.0,5.0,6.0,18.0,14.0,8.0,9.0,8.0,9.0,16.0,16.0,15.0,19.0,15.0,19.0,30.0,20.0,2.0,17.0,25.0
5,5.01,3.423,3.832,1.799,1.371,3.302,5.553,1.314,1.008,1.159,1.1,3.631,2.089,2.616,1.892,2.572,2.548,3.279,8.388,0.719,1.515,1.759,4.708,2.102,1.549,3.022,3.434,74.694,5.0,2.0,19.0,19.0,17.0,21.0,17.0,21.0,10.0,7.0,5.0,6.0,5.0,6.0,18.0,14.0,8.0,9.0,8.0,9.0,16.0,16.0,15.0,19.0,15.0,19.0,30.0,20.0,2.0,17.0,25.0
0,5.025,3.569,3.884,1.754,1.432,3.323,5.438,1.307,1.007,1.162,1.119,3.584,2.059,2.547,1.949,2.556,2.547,3.243,8.325,0.726,1.579,1.846,4.728,2.183,1.585,3.056,3.445,74.976,5.0,2.0,19.0,19.0,17.0,21.0,17.0,21.0,10.0,7.0,5.0,6.0,5.0,6.0,18.0,14.0,8.0,9.0,8.0,9.0,16.0,16.0,15.0,19.0,15.0,19.0,30.0,20.0,2.0,17.0,25.0
1,4.96,3.463,3.83,1.88,1.488,3.309,5.537,1.315,1.008,1.159,1.117,3.638,2.09,2.544,1.844,2.589,2.559,3.417,8.467,0.721,1.577,1.745,4.7,2.094,1.555,3.03,3.44,75.077,5.0,2.0,19.0,19.0,17.0,21.0,17.0,21.0,10.0,7.0,5.0,6.0,5.0,6.0,18.0,14.0,8.0,9.0,8.0,9.0,16.0,16.0,15.0,19.0,15.0,19.0,30.0,20.0,2.0,17.0,25.0
2,4.999,3.474,3.846,1.745,1.427,3.307,5.43,1.311,1.008,1.16,1.109,3.691,2.084,2.523,1.814,2.618,2.558,3.311,8.274,0.754,1.467,1.738,4.772,2.111,1.571,3.044,3.438,74.585,5.0,2.0,19.0,19.0,17.0,21.0,17.0,21.0,10.0,7.0,5.0,6.0,5.0,6.0,18.0,14.0,8.0,9.0,8.0,9.0,16.0,16.0,15.0,19.0,15.0,19.0,30.0,20.0,2.0,17.0,25.0
3,4.956,3.465,3.818,1.822,1.423,3.272,5.485,1.307,1.008,1.16,1.129,3.576,2.042,2.535,1.853,2.617,2.55,3.183,8.411,0.752,1.548,1.756,4.735,2.105,1.549,3.024,3.432,74.513,5.0,2.0,19.0,19.0,17.0,21.0,17.0,21.0,10.0,7.0,5.0,6.0,5.0,6.0,18.0,14.0,8.0,9.0,8.0,9.0,16.0,16.0,15.0,19.0,15.0,19.0,30.0,20.0,2.0,17.0,25.0
4,4.985,3.375,3.831,1.732,1.372,3.314,5.574,1.312,1.008,1.16,1.127,3.622,2.081,2.537,1.856,2.479,2.556,3.198,8.363,0.77,1.526,1.734,4.73,2.123,1.531,3.016,3.436,74.351,5.0,2.0,19.0,19.0,17.0,21.0,17.0,21.0,10.0,7.0,5.0,6.0,5.0,6.0,18.0,14.0,8.0,9.0,8.0,9.0,16.0,16.0,15.0,19.0,15.0,19.0,30.0,20.0,2.0,17.0,25.0
